Date,FTSE_Open,FTSE_High,FTSE_Low,FTSE_Close,FTSE_Adj_Close,FTSE_Volume
12/13/2019,7273.5,7429,7223.399902,7353.399902,7353.399902,1906667700
12/16/2019,7353.399902,7552.700195,7353.200195,7519.100098,7519.100098,1045291600
12/17/2019,7519.100098,7537.700195,7497.200195,7525.299805,7525.299805,1096514900
12/18/2019,7525.299805,7557.100098,7515.200195,7540.799805,7540.799805,679287600
12/19/2019,7540.799805,7575.899902,7526.100098,7573.799805,7573.799805,661933000
12/20/2019,7573.799805,7599.5,7564.600098,7582.5,7582.5,1159724000
12/23/2019,7582.5,7628.200195,7559.600098,7623.600098,7623.600098,539145700
12/24/2019,7623.600098,7636.200195,7608.200195,7632.200195,7632.200195,185671600
12/27/2019,7632.200195,7665.399902,7622.5,7644.899902,7644.899902,311117100
12/30/2019,7644.899902,7644.899902,7587.100098,7587.100098,7587.100098,304247900
12/31/2019,7587.100098,7587.399902,7532.399902,7542.399902,7542.399902,212142200
1/2/2020,7542.399902,7624.799805,7542.399902,7604.299805,7604.299805,482206700
1/3/2020,7604.299805,7626.399902,7551,7622.399902,7622.399902,475628900
1/6/2020,7622.399902,7622.399902,7528.100098,7575.299805,7575.299805,516783400
1/7/2020,7575.299805,7604.600098,7562.100098,7573.899902,7573.899902,511576100
1/8/2020,7573.899902,7579.5,7525,7574.899902,7574.899902,606225000
1/9/2020,7574.899902,7627.799805,7574.899902,7598.100098,7598.100098,653838100
1/10/2020,7598.100098,7632,7585.100098,7587.899902,7587.899902,651315600
1/13/2020,7587.899902,7635.799805,7582.5,7617.600098,7617.600098,659019400
1/14/2020,7617.600098,7650.700195,7588.799805,7622.399902,7622.399902,697648200
1/15/2020,7622.399902,7642.799805,7609.399902,7642.799805,7642.799805,730575200
1/16/2020,7642.799805,7653.600098,7595.299805,7609.799805,7609.799805,573564200
1/17/2020,7609.799805,7689.700195,7609.799805,7674.600098,7674.600098,631970100
1/20/2020,7674.600098,7682.799805,7639.600098,7651.399902,7651.399902,358980900
1/21/2020,7651.399902,7651.399902,7550.5,7610.700195,7610.700195,656519300
1/22/2020,7610.700195,7637.399902,7563.5,7571.899902,7571.899902,604636000
1/23/2020,7571.899902,7572.100098,7503.200195,7507.700195,7507.700195,668616300
1/24/2020,7507.700195,7642.200195,7507.600098,7586,7586,605760000
1/27/2020,7586,7586,7392.799805,7412.100098,7412.100098,679457100
1/28/2020,7412.100098,7491.399902,7410.399902,7480.700195,7480.700195,535852000
1/29/2020,7480.700195,7514.700195,7462.200195,7483.600098,7483.600098,525036700
1/30/2020,7483.600098,7483.600098,7357.600098,7382,7382,685501900
1/31/2020,7382,7398.299805,7275,7286,7286,714049600
2/3/2020,7286,7360,7285.200195,7326.299805,7326.299805,645846700
2/4/2020,7326.299805,7442.100098,7326.299805,7439.799805,7439.799805,696703600
2/5/2020,7439.799805,7512.399902,7408.5,7482.5,7482.5,818911400
2/6/2020,7482.5,7533.600098,7482.5,7504.799805,7504.799805,673947900
2/7/2020,7504.799805,7506.299805,7441.100098,7466.700195,7466.700195,705974200
2/10/2020,7466.700195,7466.700195,7427.899902,7446.899902,7446.899902,612817500
2/11/2020,7446.899902,7529.5,7446.899902,7499.399902,7499.399902,700689800
2/12/2020,7499.399902,7547.700195,7499,7534.399902,7534.399902,573044200
2/13/2020,7534.399902,7534.399902,7406.899902,7452,7452,823565400
2/14/2020,7452,7472.899902,7403.700195,7409.100098,7409.100098,629855000
2/17/2020,7409.100098,7450,7409.100098,7433.299805,7433.299805,394565700
2/18/2020,7433.299805,7433.299805,7353.399902,7382,7382,786827200
2/19/2020,7382,7462,7382,7457,7457,602975900
